belongs_to_collection,nro_peliculas,total_revenue,average_revenue
Xtro Collection,3,0.0,0.0
A Golden Christmas Collection,3,0.0,0.0
Would I Lie to You? Collection,3,113080982.0,37693660.666666664
The Grudge Collection,3,261228450.0,87076150.0
The Gruffalo Collection,3,0.0,0.0
Big Momma's House Collection,3,395833914.0,131944638.0
Witchboard Collection,3,168180.0,56060.0
The Yes Men Collection,3,0.0,0.0
Europa Trilogy,3,0.0,0.0
Don Camillo Collection,3,0.0,0.0
Wong Kar-Wai's Informal Collection,3,32268129.0,10756043.0
The Worricker Collection,3,0.0,0.0
Beverly Hills Cop Collection,3,735534503.0,245178167.66666666
Ace Ventura Collection,3,319602929.0,106534309.66666667
Enter the Ninja Collection,3,13168027.0,4389342.333333333
A Better Tomorrow Collection,3,4469460.0,1489820.0
The Godfather Collection,3,429375314.0,143125104.66666666
The Gingerdead Man Collection,3,0.0,0.0
Bikini Summer Collection,3,0.0,0.0
男はつらいよ シリーズ,3,0.0,0.0
Black Scorpion Collection,3,0.0,0.0
Tiny Times Collection,3,126.0,42.0
The Expendables Collection,3,793216361.0,264405453.66666666
Самый лучший фильм - Коллекция,3,9816332.0,3272110.6666666665
BloodRayne Collection,3,2405420.0,801806.6666666666
Feast Collection,3,658573.0,219524.33333333334
12 Rounds Collection,3,17280326.0,5760108.666666667
Three Colors Collection,3,0.0,0.0
xXx Collection,3,694669972.0,231556657.33333334
20th Century Boys Collection,3,31244858.0,10414952.666666666
The Fly (1958 series),3,3000000.0,1000000.0
