productora,revenue,nro_peliculas
SLM Production Group,766365133.0,15
Zero Gravity Management,171492631.0,15
MGM Television,0.0,15
"Jim Henson Company, The",192150939.0,15
October Films,30705675.0,15
Česká televize,0.0,15
Temple Hill Entertainment,4679747861.0,15
RKO Pictures,22443826.0,15
Turner Network Television (TNT),0.0,15
Cruise/Wagner Productions,3027174961.0,15
Shogakukan,125548903.0,15
New Zealand Film Commission,11840644.0,15
Twentieth Century Fox Animation,5572269143.0,15
Largo Entertainment,332327678.0,15
Vega Film,0.0,15
Initial Entertainment Group (IEG),1023258654.0,14
ARD Degeto Film,233490587.0,14
Tapestry Films,710083356.0,14
Signature Pictures,253066942.0,14
ARP Sélection,84628493.0,14
Open Road Films,443480855.0,14
Degeto Film,92855828.0,14
M6,679952666.0,14
Paradis Films,54281090.0,14
Institut National de l'Audiovisuel (INA),0.0,14
Les Films Du Fleuve,45549556.0,14
National Cinematografica,0.0,14
Stillking Films,2030509410.0,14
Grindstone Entertainment Group,305296426.0,14
Mel's Cite du Cinema,1544295928.0,14
Orly Films,108795721.0,14
"Kennedy/Marshall Company, The",3031702633.0,14
AMLF,18862083.0,14
Splendid Film,3849024.0,14
The Guber-Peters Company,672349956.0,14
Celluloid Dreams,20342599.0,14
Escape Artists,1704856641.0,14
IFC Productions,5722211.0,14
Cross Creek Pictures,1221425183.0,14
Overbrook Entertainment,3366379217.0,14
Romulus Films,58152877.0,14
Woodfall Film Productions,37600000.0,14
LGM Productions,31608804.0,14
Gaumont British Picture Corporation,0.0,14
Les Films 13,0.0,14
EM Media,19081356.0,14
Distant Horizons,27330000.0,14
Rome Paris Films,629083.0,14
Appian Way,1805321086.0,14
William Castle Productions,38395426.0,14
Hrvatska Radiotelevizija (HRT),0.0,14
Johnson Production Group,0.0,14
Huayi Brothers,251917692.0,14
Two Cities Films,0.0,14
Syfy,0.0,14
Nexus Factory,11658328.0,14
Sony Pictures Entertainment (SPE),1486970690.0,14
Canal+Polska,120984043.0,14
France 2 (FR2),24231154.0,14
Samuel Goldwyn Films,448900521.0,14
Pathé Pictures International,197667336.0,13
Centre du Cinéma et de l'Audiovisuel de la Fédération Wallonie-Bruxelles,40034903.0,13
Demarest Films,108889809.0,13
Centropolis Entertainment,3793500009.0,13
Tre Vänner Produktion AB,3371692.0,13
Planet Productions,21051548.0,13
Office Kitano,15404120.0,13
Pathé Renn Productions,572530185.0,13
Parts and Labor,49246670.0,13
Allegro Films,20007761.0,13
Eskwad,119853696.0,13
Entertainment One,78684685.0,13
Showbox/Mediaplex,62000000.0,13
